Cycle,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3,D-1,D-2,D-3,E-1,E-2,E-3,F-1,F-2,F-3,G-1,G-2,G-3,H-1,H-2,H-3
31,0.9949869367662529,0.9958380393053973,0.995731663080432,0.9508456507040042,0.9521366287508238,0.950956056127371,0.9744701905064468,0.974579763529647,0.9744214804174377,0.416773442162871,0.3211749814246417,0.41595669409423763,0.9954873718416338,0.9961755078571486,0.996375091355265,0.9683200267615911,0.9662672921510723,0.9691521066427898,0.9668230780414732,0.9672670221223797,0.9679591553960826,0.36527210560436046,0.3668372793745105,0.3775840246257367
32,0.9963882713957706,0.9970332116291879,0.9969531519882434,0.9688616709163074,0.969798508910265,0.9689491100095705,0.9830487355670092,0.9831357505056093,0.9830112543628385,0.5413967398626924,0.41027776969315055,0.5437174385322517,0.9967783964310578,0.997295739978525,0.9974451125888827,0.9802433977672003,0.9787207359922385,0.9807958486939861,0.977925554192258,0.9782608028568971,0.9787901577501658,0.49354372156392406,0.4950151456237805,0.5062178053445221
33,0.997398749074401,0.997885798456172,0.9978257375136821,0.9804144415062046,0.9810770960105817,0.9804804960667984,0.9887764777738266,0.9888435300773337,0.9887482678914068,0.6569154178744908,0.49849184057516854,0.6621070364654948,0.9977008022648615,0.9980883928180558,0.9981997777581907,0.9877388451081418,0.9866422659922253,0.9881013795348965,0.98536632168877,0.985614738818862,0.986010761864333,0.6177813016732001,0.6189817033855776,0.6294290068149869
34,0.9981269689489024,0.9984936900611494,0.9984487577500657,0.9877372203659601,0.9881972010689667,0.9877854873449948,0.9925828667100842,0.9926334016683706,0.992561989581552,0.7544575168531124,0.5817074783586571,0.7614301901228767,0.9983594792886448,0.9986489828601601,0.9987317768133315,0.9924138235066965,0.9916410363749625,0.9926498126452206,0.9903227809852446,0.9905041989385917,0.9907955369702253,0.7259202465068043,0.7267790434913148,0.7356245739435393
35,0.9986515574205472,0.9989269577864343,0.998893425934086,0.9923443853022824,0.9926592295919984,0.9923788127369264,0.9951044928985864,0.9951419417184301,0.9950892439231378,0.8306195564168414,0.6571227710063019,0.8380766621976236,0.9988296478938542,0.9990453131676442,0.9991066829825774,0.9953152587013793,0.9947794632670611,0.9954679972236797,0.9936109443686194,0.9937419363044846,0.9939534847522815,0.8118420110065633,0.8123847123022683,0.81929236409967
36,0.9990293431409578,0.9992356846042969,0.9992107153240884,0.995229361096385,0.9954425694682317,0.9952534778892446,0.996771521324277,0.9967989094030478,0.9967604988882274,0.8864599922745791,0.7231931826294303,0.8933940461827553,0.9991651643325201,0.9993254452088306,0.9993708217934721,0.9971104281418578,0.996743586795811,0.997208872365461,0.9957864232552314,0.9958801538120724,0.9960321868703912,0.8752058345007897,0.8755086563589479,0.8805676957534975
37,0.9993013495314729,0.9994556287585439,0.9994370720408849,0.9970305563339915,0.9971737359703137,0.9970472179141033,0.9978720607121576,0.9978918812121719,0.9978641605161351,0.925478609156202,0.7794406586501047,0.931345402991199,0.9994045442196213,0.9995234123276342,0.9995568890282739,0.9982190048377939,0.9979703236484542,0.9982822543586475,0.9972231470138772,0.9972897251716553,0.9973980793565974,0.9193165050534085,0.9194625804555738,0.9229938549012195
38,0.9994971643433923,0.9996123015287613,0.9995985350186963,0.9981530181585214,0.998248528140958,0.99816440422682,0.9985979521950495,0.9986121735997675,0.9985923292784792,0.9518062323179898,0.8261858271893344,0.9564539147712525,0.9995753096326108,0.9996632970127717,0.9996879450255622,0.9989027763798503,0.9987355446289079,0.9989433124391146,0.9981708528756741,0.9982178585107179,0.9982945549666623,0.9487587524797972,0.9488144205390514,0.9511964635547521
39,0.9996381138741226,0.9997238937792857,0.999713697486701,0.9988516975699085,0.998915059554624,0.9988594103600134,0.9990764457166563,0.9990865773319042,0.999072467062479,0.9691431585218339,0.8642652508126634,0.9726575418929737,0.9996971155028749,0.9997621317706511,0.9997802464044747,0.9993242187790377,0.9992125030876925,0.9993501450610133,0.9987954956006599,0.9988285139458724,0.9988824914089867,0.967844662405913,0.9678541412037504,0.969423857619637
40,0.9997395626780531,0.9998033715432717,0.9997958307956694,0.9992862777752852,0.999328119233708,0.9992914646407292,0.9993917339608235,0.9993989087195961,0.9993889327927769,0.9803736376047665,0.8947825043158084,0.9829437599475725,0.9997839925745564,0.9998319586584358,0.9998452495434226,0.9995838573615443,0.999509643032525,0.999600410862544,0.9992069901570639,0.9992300826707838,0.9992678860303094,0.9799782496129865,0.9799675125621273,0.9809859545146711
